Date,Location_ID,Rainfall_mm,Wind_Speed_kmh,Surface_Runoff_Index
,LOC-101,0,33.4,0
,LOC-101,0,29.1,0
,LOC-101,0,6.8,0
,LOC-101,6.57,24.9,1.83
,LOC-101,7.4,30.8,1.54
,LOC-101,0.1,26.2,0.06
,LOC-101,0,28,0
,LOC-101,1.52,25.7,1.15
,LOC-101,0,20.1,0
,LOC-101,0,22.7,0
,LOC-101,9.51,20.3,6
,LOC-101,3.4,8.5,1.57
,LOC-101,4.54,26.7,1.41
,LOC-101,2.59,24.6,0.55
,LOC-101,0,28.5,0
,LOC-101,0,6.1,0
,LOC-101,0,10.8,0
,LOC-101,0.46,21.7,0.16
,LOC-101,0,11.6,0
,LOC-101,0,18,0
,LOC-101,0,10.7,0
,LOC-101,10.14,16.5,3.93
,LOC-101,0,5.6,0
,LOC-101,0,14.4,0
,LOC-101,0,34.4,0
,LOC-101,1.87,34.7,0.87
,LOC-101,0.68,27,0.25
,LOC-101,0,31.5,0
,LOC-101,0,30,0
,LOC-101,4.96,19.7,3.64
,LOC-101,1.76,28.7,0.46
,LOC-101,5.63,7.6,3.43
,LOC-101,0,22.8,0
,LOC-101,0,27.9,0
,LOC-101,0,25.8,0
,LOC-101,0,18.5,0
,LOC-101,0.7,33.9,0.41
,LOC-101,2.78,15,2.06
,LOC-101,0,8.5,0
,LOC-101,5.01,21.6,3.12
,LOC-101,0,27.7,0
,LOC-101,1.56,13.3,0.8
,LOC-101,0,24.4,0
,LOC-101,0,19.1,0
,LOC-101,0,21.7,0
,LOC-101,0,13.4,0
,LOC-101,1.52,24.4,1.08
,LOC-101,0,29.9,0
,LOC-101,3.89,11.7,1.73
,LOC-101,7.65,22.3,2.06
,LOC-101,0,12.9,0
,LOC-101,0,31.7,0
,LOC-101,0,22.2,0
,LOC-101,5.85,34,3.97
,LOC-101,0,15.4,0
,LOC-101,0,8.3,0
,LOC-101,30.05,14.7,15.28
,LOC-101,2.19,8.3,1.68
,LOC-101,0,32.9,0
,LOC-101,0,10.2,0
,LOC-101,8.05,33.1,3.56
,LOC-101,3.54,29.1,2.22
,LOC-101,0,15.1,0
,LOC-101,0,33.9,0
,LOC-101,0,8.6,0
,LOC-101,0,11.7,0
,LOC-101,3.96,27.3,1.6
,LOC-101,0,8.1,0
,LOC-101,0,14,0
,LOC-101,0,8.7,0
,LOC-101,0,26.4,0
,LOC-101,0,27.8,0
,LOC-101,0,7.5,0
,LOC-101,0,15.3,0
,LOC-101,0,31.6,0
