Location_ID,Location_Name,Water_Body_Type,Latitude,Longitude,City,State,Nearby_Industry_Type
LOC-101,Hudson River North,River,40.7128,-74.006,New York,NY,Textile & Apparel
LOC-102,Lake Michigan Central,Lake,41.8781,-87.6298,Chicago,IL,Manufacturing
LOC-103,Bay Area Estuary,Estuary,37.7749,-122.4194,San Francisco,CA,Tech & Commercial
LOC-104,City WWTP Outlet,WWTP Effluent,40.7306,-73.9352,New York,NY,Municipal Sewage
LOC-105,Puget Sound Coastal,Coastal,47.6062,-122.3321,Seattle,WA,Maritime & Shipping
LOC-106,Mississippi Delta,River,29.9511,-90.0715,New Orleans,LA,Agriculture Runoff
LOC-107,Everglades Canal,Wetland,25.7617,-80.1918,Miami,FL,Agriculture Runoff
LOC-108,Delaware River Basin,River,39.9526,-75.1652,Philadelphia,PA,Chemical Processing
LOC-109,Lake Erie West,Lake,41.5055,-81.6944,Cleveland,OH,Heavy Industrial
LOC-110,Chesapeake Inflow,Estuary,38.9784,-76.4922,Annapolis,MD,Urban Runoff
