Date,Location_ID,Rainfall_mm,Wind_Speed_kmh,Surface_Runoff_Index
01-01-2026,LOC-101,0,33.4,0
02-01-2026,LOC-101,0,29.1,0
03-01-2026,LOC-101,0,6.8,0
04-01-2026,LOC-101,6.57,24.9,1.83
05-01-2026,LOC-101,7.4,30.8,1.54
06-01-2026,LOC-101,0.1,26.2,0.06
07-01-2026,LOC-101,0,28,0
08-01-2026,LOC-101,1.52,25.7,1.15
09-01-2026,LOC-101,0,20.1,0
10-01-2026,LOC-101,0,22.7,0
11-01-2026,LOC-101,9.51,20.3,6
12-01-2026,LOC-101,3.4,8.5,1.57
13-01-2026,LOC-101,4.54,26.7,1.41
14-01-2026,LOC-101,2.59,24.6,0.55
15-01-2026,LOC-101,0,28.5,0
16-01-2026,LOC-101,0,6.1,0
17-01-2026,LOC-101,0,10.8,0
18-01-2026,LOC-101,0.46,21.7,0.16
19-01-2026,LOC-101,0,11.6,0
20-01-2026,LOC-101,0,18,0
21-01-2026,LOC-101,0,10.7,0
22-01-2026,LOC-101,10.14,16.5,3.93
23-01-2026,LOC-101,0,5.6,0
24-01-2026,LOC-101,0,14.4,0
25-01-2026,LOC-101,0,34.4,0
26-01-2026,LOC-101,1.87,34.7,0.87
27-01-2026,LOC-101,0.68,27,0.25
28-01-2026,LOC-101,0,31.5,0
29-01-2026,LOC-101,0,30,0
30-01-2026,LOC-101,4.96,19.7,3.64
31-01-2026,LOC-101,1.76,28.7,0.46
01-02-2026,LOC-101,5.63,7.6,3.43
02-02-2026,LOC-101,0,22.8,0
03-02-2026,LOC-101,0,27.9,0
04-02-2026,LOC-101,0,25.8,0
05-02-2026,LOC-101,0,22.7,0
06-02-2026,LOC-101,0,18.5,0
07-02-2026,LOC-101,0.7,33.9,0.41
08-02-2026,LOC-101,2.78,15,2.06
09-02-2026,LOC-101,0,8.5,0
10-02-2026,LOC-101,5.01,21.6,3.12
11-02-2026,LOC-101,0,27.7,0
12-02-2026,LOC-101,1.56,13.3,0.8
13-02-2026,LOC-101,0,24.4,0
14-02-2026,LOC-101,0,19.1,0
15-02-2026,LOC-101,0,21.7,0
16-02-2026,LOC-101,0,13.4,0
17-02-2026,LOC-101,1.52,24.4,1.08
18-02-2026,LOC-101,0,29.9,0
19-02-2026,LOC-101,3.89,11.7,1.73
20-02-2026,LOC-101,7.65,22.3,2.06
21-02-2026,LOC-101,0,12.9,0
22-02-2026,LOC-101,0,31.7,0
23-02-2026,LOC-101,0,22.2,0
24-02-2026,LOC-101,5.85,34,3.97
25-02-2026,LOC-101,0,15.4,0
26-02-2026,LOC-101,0,8.3,0
27-02-2026,LOC-101,30.05,14.7,15.28
28-02-2026,LOC-101,2.19,8.3,1.68
01-03-2026,LOC-101,0,20.1,0
02-03-2026,LOC-101,0,32.9,0
03-03-2026,LOC-101,0,10.2,0
04-03-2026,LOC-101,8.05,33.1,3.56
05-03-2026,LOC-101,3.54,29.1,2.22
06-03-2026,LOC-101,0,15.1,0
07-03-2026,LOC-101,0,33.9,0
08-03-2026,LOC-101,0,8.6,0
09-03-2026,LOC-101,0,11.7,0
10-03-2026,LOC-101,3.96,27.3,1.6
11-03-2026,LOC-101,0,8.1,0
12-03-2026,LOC-101,0,14,0
13-03-2026,LOC-101,0,8.7,0
14-03-2026,LOC-101,0,26.4,0
15-03-2026,LOC-101,0,27.8,0
16-03-2026,LOC-101,0,15.1,0
17-03-2026,LOC-101,0,15.1,0
18-03-2026,LOC-101,0,7.5,0
19-03-2026,LOC-101,0,15.3,0
20-03-2026,LOC-101,0,31.6,0
21-03-2026,LOC-101,0,26.7,0
22-03-2026,LOC-101,0,32.1,0
23-03-2026,LOC-101,4.24,14.2,2.11
24-03-2026,LOC-101,0,5.7,0
25-03-2026,LOC-101,3.57,12.3,1.43
26-03-2026,LOC-101,3.73,20.9,2.9
27-03-2026,LOC-101,0,19.4,0
28-03-2026,LOC-101,1.54,9.5,0.96
29-03-2026,LOC-101,0,32.7,0
30-03-2026,LOC-101,0,6.6,0
31-03-2026,LOC-101,5.05,33.1,1.4
01-04-2026,LOC-101,0,30.2,0
02-04-2026,LOC-101,8.02,15.9,2.65
03-04-2026,LOC-101,1.83,17,1.13
04-04-2026,LOC-101,0,29.6,0
05-04-2026,LOC-101,4.6,22.2,2.19
06-04-2026,LOC-101,0,18.9,0
07-04-2026,LOC-101,0,13.4,0
08-04-2026,LOC-101,0,26,0
09-04-2026,LOC-101,5.93,28,4.16
10-04-2026,LOC-101,0,29.7,0
11-04-2026,LOC-101,10.88,5.7,4.68
12-04-2026,LOC-101,0,25.4,0
13-04-2026,LOC-101,0,16.4,0
14-04-2026,LOC-101,7.18,17.9,1.67
15-04-2026,LOC-101,0,18.7,0
16-04-2026,LOC-101,0,21.2,0
17-04-2026,LOC-101,1.22,6.3,0.47
18-04-2026,LOC-101,15.09,7.3,3.28
19-04-2026,LOC-101,6.89,34.8,3.02
20-04-2026,LOC-101,0,10.2,0
21-04-2026,LOC-101,0,15.9,0
22-04-2026,LOC-101,1.11,27.5,0.41
23-04-2026,LOC-101,0.63,27.7,0.16
24-04-2026,LOC-101,0,27,0
25-04-2026,LOC-101,0,30.9,0
26-04-2026,LOC-101,0,10,0
27-04-2026,LOC-101,0,34.1,0
28-04-2026,LOC-101,0,34.5,0
29-04-2026,LOC-101,2.02,16.5,1.12
30-04-2026,LOC-101,0,12.7,0
01-05-2026,LOC-101,0,21.1,0
02-05-2026,LOC-101,0,13.1,0
03-05-2026,LOC-101,0,20.6,0
04-05-2026,LOC-101,0,27.6,0
05-05-2026,LOC-101,0,5.6,0
06-05-2026,LOC-101,0,29.7,0
07-05-2026,LOC-101,0,8.9,0
08-05-2026,LOC-101,0,26,0
09-05-2026,LOC-101,1.6,31.4,1.12
10-05-2026,LOC-101,3.07,28.1,1.7
11-05-2026,LOC-101,0,34.8,0
12-05-2026,LOC-101,0,31.8,0
13-05-2026,LOC-101,6.28,6.1,2.87
14-05-2026,LOC-101,4.37,33.1,3.15
15-05-2026,LOC-101,0,7.5,0
16-05-2026,LOC-101,0,7.2,0
17-05-2026,LOC-101,5.1,18.4,3.05
18-05-2026,LOC-101,11.18,33.7,5.69
19-05-2026,LOC-101,16.69,9.5,3.52
20-05-2026,LOC-101,1.09,6.3,0.32
21-05-2026,LOC-101,0,11.6,0
22-05-2026,LOC-101,6.09,26.4,1.56
23-05-2026,LOC-101,6.72,24.8,2.27
24-05-2026,LOC-101,0,30.4,0
25-05-2026,LOC-101,4.43,18.5,2.9
26-05-2026,LOC-101,0,25.2,0
27-05-2026,LOC-101,1.72,13.3,1.03
28-05-2026,LOC-101,4.31,20.8,1.28
29-05-2026,LOC-101,6.06,34,2.3
30-05-2026,LOC-101,2.85,21.8,1.97
31-05-2026,LOC-101,0,15.3,0
01-06-2026,LOC-101,0,7.8,0
02-06-2026,LOC-101,0,32.3,0
03-06-2026,LOC-101,0.7,12.3,0.24
04-06-2026,LOC-101,1.11,28.6,0.53
05-06-2026,LOC-101,9.13,27.2,6.6
06-06-2026,LOC-101,9.28,12.8,2.4
07-06-2026,LOC-101,2.85,17.8,1.47
08-06-2026,LOC-101,0,23.8,0
09-06-2026,LOC-101,12.93,33.1,5.42
10-06-2026,LOC-101,0,33.6,0
11-06-2026,LOC-101,2.62,21.9,1.77
12-06-2026,LOC-101,0,23.8,0
13-06-2026,LOC-101,3.26,22.5,2.59
14-06-2026,LOC-101,7.7,26.8,4.78
15-06-2026,LOC-101,3.03,19.2,1.46
16-06-2026,LOC-101,0,12.2,0
17-06-2026,LOC-101,1.61,9.2,0.44
18-06-2026,LOC-101,0.03,19.1,0.01
19-06-2026,LOC-101,15.9,33.8,7.4
20-06-2026,LOC-101,4.58,15.5,2.14
21-06-2026,LOC-101,0,28.9,0
22-06-2026,LOC-101,0,19.4,0
23-06-2026,LOC-101,5.89,24.9,3.04
24-06-2026,LOC-101,0,17.1,0
25-06-2026,LOC-101,6.56,11.8,1.71
26-06-2026,LOC-101,0,30.7,0
27-06-2026,LOC-101,4.78,8.9,1.29
28-06-2026,LOC-101,0,22,0
29-06-2026,LOC-101,5.8,14.5,1.78
01-01-2026,LOC-102,0,27.1,0
02-01-2026,LOC-102,0,30.7,0
03-01-2026,LOC-102,0,27.3,0
04-01-2026,LOC-102,2.9,16.4,1.92
05-01-2026,LOC-102,0,26.1,0
06-01-2026,LOC-102,1.63,10.6,0.58
07-01-2026,LOC-102,2.31,10.2,0.6
08-01-2026,LOC-102,0,9.1,0
09-01-2026,LOC-102,0.1,8.5,0.07
10-01-2026,LOC-102,2,7.6,1.25
11-01-2026,LOC-102,0,6.4,0
12-01-2026,LOC-102,0,22.7,0
13-01-2026,LOC-102,3.95,17.7,2.26
14-01-2026,LOC-102,0,12.4,0
15-01-2026,LOC-102,2.33,30.2,1.07
16-01-2026,LOC-102,0,5.8,0
17-01-2026,LOC-102,5.45,9.5,1.43
18-01-2026,LOC-102,0,17,0
19-01-2026,LOC-102,6.44,17.4,1.36
20-01-2026,LOC-102,0,25.5,0
21-01-2026,LOC-102,2.6,5.9,2.03
22-01-2026,LOC-102,3.99,7.1,2.09
23-01-2026,LOC-102,5.7,26.6,1.43
24-01-2026,LOC-102,0,8.8,0
25-01-2026,LOC-102,0,28.7,0
26-01-2026,LOC-102,8.61,11.7,6.24
27-01-2026,LOC-102,0,11.2,0
28-01-2026,LOC-102,12.36,14.9,7.7
29-01-2026,LOC-102,8.21,13.9,4.15
30-01-2026,LOC-102,0.13,16.3,0.08
31-01-2026,LOC-102,0,33.7,0
01-02-2026,LOC-102,1.22,6.5,0.46
02-02-2026,LOC-102,6.98,11.3,2.22
03-02-2026,LOC-102,3.06,28.8,0.66
04-02-2026,LOC-102,6.56,34.8,3.98
05-02-2026,LOC-102,0,8.2,0
06-02-2026,LOC-102,0,32,0
07-02-2026,LOC-102,0,17.1,0
08-02-2026,LOC-102,0,5.5,0
09-02-2026,LOC-102,0,11.2,0
10-02-2026,LOC-102,0,6,0
11-02-2026,LOC-102,0,21.8,0
12-02-2026,LOC-102,0.35,17.5,0.12
13-02-2026,LOC-102,0,32.6,0
14-02-2026,LOC-102,2.91,25.1,0.64
15-02-2026,LOC-102,0,21.6,0
16-02-2026,LOC-102,0,29.2,0
17-02-2026,LOC-102,0,18.2,0
18-02-2026,LOC-102,5.03,28.2,1.99
19-02-2026,LOC-102,9.91,15.4,4
20-02-2026,LOC-102,0.26,15.5,0.07
21-02-2026,LOC-102,0,8.4,0
22-02-2026,LOC-102,1.71,30.5,0.79
23-02-2026,LOC-102,15.41,28.2,11.7
24-02-2026,LOC-102,11.3,12.1,4.6
25-02-2026,LOC-102,2.76,30.1,2.01
26-02-2026,LOC-102,0,29.7,0
27-02-2026,LOC-102,0,20.5,0
28-02-2026,LOC-102,0,22.4,0
01-03-2026,LOC-102,4.99,14.5,1.69
02-03-2026,LOC-102,9.03,11.9,2
03-03-2026,LOC-102,4.78,8,2.64
04-03-2026,LOC-102,0,28.2,0
05-03-2026,LOC-102,0,9.7,0
06-03-2026,LOC-102,6.67,25.7,3.03
07-03-2026,LOC-102,0.38,29.1,0.13
08-03-2026,LOC-102,0,20.6,0
09-03-2026,LOC-102,4.38,17.1,3.36
10-03-2026,LOC-102,0,29.1,0
11-03-2026,LOC-102,0,5,0
12-03-2026,LOC-102,0,8.1,0
13-03-2026,LOC-102,0,23.4,0
14-03-2026,LOC-102,0,17.7,0
15-03-2026,LOC-102,0,29.3,0
16-03-2026,LOC-102,3.65,23.1,1.69
17-03-2026,LOC-102,12.87,24.2,8.91
18-03-2026,LOC-102,0,32.2,0
19-03-2026,LOC-102,0,6.6,0
20-03-2026,LOC-102,12.22,30.4,5.96
21-03-2026,LOC-102,17.45,20.1,5.33
22-03-2026,LOC-102,18.53,31.2,13.29
23-03-2026,LOC-102,11.22,28.3,7.08
24-03-2026,LOC-102,0,23.6,0
25-03-2026,LOC-102,3.38,8.8,0.69
26-03-2026,LOC-102,3.99,14.9,1.2
27-03-2026,LOC-102,0,8,0
28-03-2026,LOC-102,0,19,0
29-03-2026,LOC-102,0,30.5,0
30-03-2026,LOC-102,0,10.3,0
31-03-2026,LOC-102,0,6,0
01-04-2026,LOC-102,3.77,27.9,0.84
02-04-2026,LOC-102,0.5,25.2,0.14
03-04-2026,LOC-102,3.57,7.5,2.04
04-04-2026,LOC-102,0,28.3,0
05-04-2026,LOC-102,0,16.2,0
06-04-2026,LOC-102,1.95,22.1,1.51
07-04-2026,LOC-102,0,34.7,0
08-04-2026,LOC-102,0,18.1,0
09-04-2026,LOC-102,0,7.1,0
10-04-2026,LOC-102,5.23,22.1,1.57
11-04-2026,LOC-102,16.19,6.2,4
12-04-2026,LOC-102,8.45,23.5,6.48
13-04-2026,LOC-102,1.22,26.9,0.72
14-04-2026,LOC-102,1.2,22.9,0.8
15-04-2026,LOC-102,0,16.4,0
16-04-2026,LOC-102,0,23.7,0
17-04-2026,LOC-102,0,34.5,0
18-04-2026,LOC-102,0,17.9,0
19-04-2026,LOC-102,0,14.4,0
20-04-2026,LOC-102,0,19.1,0
21-04-2026,LOC-102,1.99,17.7,1.2
22-04-2026,LOC-102,0,29.6,0
23-04-2026,LOC-102,2.35,18.9,0.49
24-04-2026,LOC-102,0,18.8,0
25-04-2026,LOC-102,16.92,31.6,3.47
26-04-2026,LOC-102,0.35,13.2,0.19
27-04-2026,LOC-102,5.32,6.5,1.39
28-04-2026,LOC-102,0,7.7,0
29-04-2026,LOC-102,8.88,17.3,5.47
30-04-2026,LOC-102,0,34.2,0
01-05-2026,LOC-102,14.54,30.9,3.49
02-05-2026,LOC-102,0.64,5.2,0.15
03-05-2026,LOC-102,11.96,11.8,6.32
04-05-2026,LOC-102,3.43,16.8,1.68
05-05-2026,LOC-102,3.24,28.5,1.49
06-05-2026,LOC-102,0,14.8,0
07-05-2026,LOC-102,0,9.4,0
08-05-2026,LOC-102,0,28,0
09-05-2026,LOC-102,15.13,22,4.53
10-05-2026,LOC-102,10.14,30.9,6.25
11-05-2026,LOC-102,0.07,27.4,0.02
12-05-2026,LOC-102,0,21.5,0
13-05-2026,LOC-102,0,29.7,0
14-05-2026,LOC-102,3.89,33.8,1.06
15-05-2026,LOC-102,0.69,16.5,0.38
16-05-2026,LOC-102,0.02,12.8,0.01
17-05-2026,LOC-102,0,24.1,0
18-05-2026,LOC-102,0,10.7,0
19-05-2026,LOC-102,0,25.6,0
20-05-2026,LOC-102,0,22,0
21-05-2026,LOC-102,0,17,0
22-05-2026,LOC-102,0,30.6,0
23-05-2026,LOC-102,3.95,26,3.01
24-05-2026,LOC-102,1.54,22.1,0.72
25-05-2026,LOC-102,0,20.5,0
26-05-2026,LOC-102,1.05,6.9,0.48
27-05-2026,LOC-102,0,14.5,0
28-05-2026,LOC-102,0,34.4,0
29-05-2026,LOC-102,0,8.9,0
30-05-2026,LOC-102,0,23.5,0
31-05-2026,LOC-102,0,29.8,0
01-06-2026,LOC-102,0,18.8,0
02-06-2026,LOC-102,0,22,0
03-06-2026,LOC-102,0,15.7,0
04-06-2026,LOC-102,10.25,34.1,7.75
05-06-2026,LOC-102,5.16,28.4,2.37
06-06-2026,LOC-102,0,15.5,0
07-06-2026,LOC-102,3.03,11.4,0.97
08-06-2026,LOC-102,5.66,21.4,2.49
09-06-2026,LOC-102,0,6.7,0
10-06-2026,LOC-102,2.46,16.5,0.52
11-06-2026,LOC-102,0,5.8,0
12-06-2026,LOC-102,0,30.2,0
13-06-2026,LOC-102,0,20.5,0
14-06-2026,LOC-102,0,23.6,0
15-06-2026,LOC-102,0,23.8,0
16-06-2026,LOC-102,0,26.5,0
17-06-2026,LOC-102,0,25,0
18-06-2026,LOC-102,1.27,19,0.44
19-06-2026,LOC-102,0,17.1,0
20-06-2026,LOC-102,0,13.9,0
21-06-2026,LOC-102,7.64,7.1,5.53
22-06-2026,LOC-102,11.06,15.3,5.29
23-06-2026,LOC-102,1.59,32.5,1.11
24-06-2026,LOC-102,1.96,12.1,0.78
25-06-2026,LOC-102,2.03,22,0.9
26-06-2026,LOC-102,0,10.8,0
27-06-2026,LOC-102,0.25,31.7,0.15
28-06-2026,LOC-102,4.92,13.9,2.21
29-06-2026,LOC-102,1.83,19.1,0.39
01-01-2026,LOC-103,2.7,20.8,0.73
02-01-2026,LOC-103,1.8,24,0.99
03-01-2026,LOC-103,1.74,27.7,0.75
04-01-2026,LOC-103,0,25.2,0
05-01-2026,LOC-103,11.51,13.6,8.52
06-01-2026,LOC-103,0,24.8,0
07-01-2026,LOC-103,0,14.3,0
08-01-2026,LOC-103,0,16.1,0
09-01-2026,LOC-103,0,7.9,0
10-01-2026,LOC-103,0,16.4,0
11-01-2026,LOC-103,0.37,24,0.23
12-01-2026,LOC-103,0,25,0
13-01-2026,LOC-103,0,16.7,0
14-01-2026,LOC-103,3.42,13.3,1.66
15-01-2026,LOC-103,8.09,24.5,3.89
16-01-2026,LOC-103,0,16.6,0
17-01-2026,LOC-103,0,20.9,0
18-01-2026,LOC-103,7.51,9.6,2.29
19-01-2026,LOC-103,0,27.1,0
20-01-2026,LOC-103,3.69,29.8,2.01
21-01-2026,LOC-103,6.38,24.3,3.44
22-01-2026,LOC-103,2.72,7.9,0.61
23-01-2026,LOC-103,0,23,0
24-01-2026,LOC-103,0,14.7,0
25-01-2026,LOC-103,0,7.9,0
26-01-2026,LOC-103,0,30.3,0
27-01-2026,LOC-103,4.19,34.3,1.52
28-01-2026,LOC-103,0,6.6,0
29-01-2026,LOC-103,0.45,12.3,0.32
30-01-2026,LOC-103,0,7.1,0
31-01-2026,LOC-103,0,33.3,0
01-02-2026,LOC-103,12.9,20.2,4.49
02-02-2026,LOC-103,0,26.6,0
03-02-2026,LOC-103,0,21.1,0
04-02-2026,LOC-103,0,30.9,0
05-02-2026,LOC-103,0,11.6,0
06-02-2026,LOC-103,0,16.4,0
07-02-2026,LOC-103,6.39,9.5,4.66
08-02-2026,LOC-103,0,11.7,0
09-02-2026,LOC-103,0,31.6,0
10-02-2026,LOC-103,0,30.4,0
11-02-2026,LOC-103,1.2,26.5,0.4
12-02-2026,LOC-103,4.1,25.9,1.11
13-02-2026,LOC-103,0,9.2,0
14-02-2026,LOC-103,0,27,0
15-02-2026,LOC-103,0.23,11.1,0.16
16-02-2026,LOC-103,3.23,6.5,1.83
17-02-2026,LOC-103,0,14.5,0
18-02-2026,LOC-103,0,7.8,0
19-02-2026,LOC-103,0.29,20.8,0.07
20-02-2026,LOC-103,4.75,10.2,1.01
21-02-2026,LOC-103,0,20.2,0
22-02-2026,LOC-103,0,11.6,0
23-02-2026,LOC-103,0,16.7,0
24-02-2026,LOC-103,16.59,32.9,8.99
25-02-2026,LOC-103,15.07,7.5,3.06
26-02-2026,LOC-103,0,21.9,0
27-02-2026,LOC-103,0,21.4,0
28-02-2026,LOC-103,0,14.6,0
01-03-2026,LOC-103,0,29.4,0
02-03-2026,LOC-103,6.49,28.8,3.91
03-03-2026,LOC-103,5.5,20.4,2.3
04-03-2026,LOC-103,1.77,21.3,0.81
05-03-2026,LOC-103,0,34.2,0
06-03-2026,LOC-103,0,9.8,0
07-03-2026,LOC-103,0,23.4,0
08-03-2026,LOC-103,0,10.8,0
09-03-2026,LOC-103,4.76,11.2,1.37
10-03-2026,LOC-103,0,23.8,0
11-03-2026,LOC-103,0,16.7,0
12-03-2026,LOC-103,2.81,25.7,1.44
13-03-2026,LOC-103,0.89,23,0.44
14-03-2026,LOC-103,0,27.5,0
15-03-2026,LOC-103,0,16.2,0
16-03-2026,LOC-103,0,19.2,0
17-03-2026,LOC-103,0.86,22.8,0.63
18-03-2026,LOC-103,0,19.2,0
19-03-2026,LOC-103,0.53,16.9,0.27
20-03-2026,LOC-103,0.98,34.5,0.42
21-03-2026,LOC-103,0,17.4,0
22-03-2026,LOC-103,0,13.7,0
23-03-2026,LOC-103,1.91,9.5,1.29
24-03-2026,LOC-103,0.53,33.4,0.13
25-03-2026,LOC-103,2.76,21.7,0.91
26-03-2026,LOC-103,16.06,18.8,8.25
27-03-2026,LOC-103,0,31.8,0
28-03-2026,LOC-103,3.91,33.7,1.14
29-03-2026,LOC-103,0,21.1,0
30-03-2026,LOC-103,5.55,8.8,2.26
31-03-2026,LOC-103,0,22,0
01-04-2026,LOC-103,0,24.6,0
02-04-2026,LOC-103,17.98,28.4,5.1
03-04-2026,LOC-103,2.55,26.9,1.32
04-04-2026,LOC-103,2.77,6.9,1.48
05-04-2026,LOC-103,0,34,0
06-04-2026,LOC-103,0,32.2,0
07-04-2026,LOC-103,0,13.9,0
08-04-2026,LOC-103,7.92,33.9,1.93
09-04-2026,LOC-103,0,7.4,0
10-04-2026,LOC-103,0,8,0
11-04-2026,LOC-103,0,26.5,0
12-04-2026,LOC-103,0,17.8,0
13-04-2026,LOC-103,0,15,0
14-04-2026,LOC-103,0,30.8,0
15-04-2026,LOC-103,1.67,32,1.13
16-04-2026,LOC-103,0,25.1,0
17-04-2026,LOC-103,0,13.8,0
18-04-2026,LOC-103,1.4,30.2,0.6
19-04-2026,LOC-103,0,33.3,0
20-04-2026,LOC-103,6.22,32.5,2.17
21-04-2026,LOC-103,2.56,5.4,0.7
22-04-2026,LOC-103,0,21.9,0
23-04-2026,LOC-103,4.03,7.2,1.5
24-04-2026,LOC-103,0,23.7,0
25-04-2026,LOC-103,0,32,0
