Sample_ID,Timestamp,Location_ID,Water_Temp_C,pH_Level,Turbidity_NTU,Dissolved_Oxygen_mgL,Microplastic_Count_per_m3,Dominant_Polymer,Dominant_Morphology,Average_Particle_Size_mm,Risk_Level
SMP-2026-0001,01-01-2026 00:00,LOC-107,9.2,7.38,33.32,10.62,552,PE,Fiber,0.06,High
SMP-2026-0002,01-01-2026 04:00,LOC-104,8.6,8.37,23.87,11.34,422,PS,Foam,0.21,High
SMP-2026-0003,01-01-2026 08:00,LOC-108,22.3,7.35,1.95,7.77,39,PET,Film,0.06,Low
SMP-2026-0004,01-01-2026 12:00,LOC-105,15.2,7.76,39.15,8.69,529,PS,Fiber,2.28,High
SMP-2026-0005,01-01-2026 16:00,LOC-107,10.5,7.41,3.38,11.15,87,PS,Foam,1.49,Low
SMP-2026-0006,01-01-2026 20:00,LOC-110,13.1,7.6,43.03,9.92,1055,PS,Fiber,1.08,Critical
SMP-2026-0007,02-01-2026 00:00,LOC-103,20.8,7.55,1.62,7.28,64,PS,Fiber,3.2,Low
SMP-2026-0008,02-01-2026 04:00,LOC-107,13.5,7.19,31.4,10.96,533,PVC,Film,0.72,High
SMP-2026-0009,02-01-2026 08:00,LOC-108,17.9,7.95,4.16,8.63,72,PVC,Microbead,1.39,Low
SMP-2026-0010,02-01-2026 12:00,LOC-105,10.4,7.76,41.03,10.6,497,PP,Microbead,3.29,High
SMP-2026-0011,02-01-2026 16:00,LOC-104,19.8,7.91,21.17,7.67,176,PE,Fiber,1.52,Medium
SMP-2026-0012,02-01-2026 20:00,LOC-108,14.3,7.56,6.62,10.15,67,PS,Fragment,1.96,Low
SMP-2026-0013,03-01-2026 00:00,LOC-108,20.5,6.95,15.67,7.54,310,PP,Foam,0.33,Medium
SMP-2026-0014,03-01-2026 04:00,LOC-103,24.2,8.25,7.83,7.12,101,PE,Fragment,2.78,Medium
SMP-2026-0015,03-01-2026 08:00,LOC-106,20.2,7.27,8.09,7.94,101,PA,Fragment,1.51,Medium
SMP-2026-0016,03-01-2026 12:00,LOC-105,13.9,7.58,42.69,10.39,1087,PET,Fiber,2.81,Critical
SMP-2026-0017,03-01-2026 16:00,LOC-102,13.1,7.72,20.31,9.55,200,PVC,Fiber,0.93,Medium
SMP-2026-0018,03-01-2026 20:00,LOC-108,14.5,7.58,35.6,9.2,303,PA,Fiber,1.51,Medium
SMP-2026-0019,04-01-2026 00:00,LOC-106,11.3,7.86,28.96,10.47,223,PE,Fiber,2.76,Medium
SMP-2026-0020,04-01-2026 04:00,LOC-102,11.6,7.94,30.6,10.42,536,PA,Microbead,3.41,High
SMP-2026-0021,04-01-2026 08:00,LOC-105,23.8,7.29,6.36,6.68,131,PET,Fiber,0.26,Medium
SMP-2026-0022,04-01-2026 12:00,LOC-101,15.7,8.21,10.92,10.61,153,PE,Microbead,2.85,Medium
SMP-2026-0023,04-01-2026 16:00,LOC-110,16.7,7.27,35.51,10.02,583,PA,Microbead,1.09,High
SMP-2026-0024,04-01-2026 20:00,LOC-106,19.9,7.57,43.7,8.18,928,PVC,Fiber,1.95,Critical
SMP-2026-0025,05-01-2026 00:00,LOC-109,19.8,7.21,12.19,8.27,276,PVC,Film,1.05,Medium
SMP-2026-0026,05-01-2026 04:00,LOC-101,9.3,7.06,12.58,11.09,329,PP,Foam,2.17,Medium
SMP-2026-0027,05-01-2026 08:00,LOC-110,24.6,7.92,21.54,6.1,482,PA,Fragment,1.27,High
SMP-2026-0028,05-01-2026 12:00,LOC-103,11.5,8.96,44.28,10.46,745,PS,Microbead,1.2,Critical
SMP-2026-0029,05-01-2026 16:00,LOC-107,22.5,7.22,12.47,7.64,129,PA,Foam,0.18,Medium
SMP-2026-0030,05-01-2026 20:00,LOC-104,23.5,8.01,18.61,7.6,146,PE,Film,0.56,Medium
SMP-2026-0031,06-01-2026 00:00,LOC-109,22.3,7.24,40.17,7.81,259,PE,Fragment,3.21,Medium
SMP-2026-0032,06-01-2026 04:00,LOC-103,19.6,7.39,0.63,7.37,32,PA,Fragment,3.49,Low
SMP-2026-0033,06-01-2026 08:00,LOC-105,8.3,8.28,2.27,11.37,69,PET,Microbead,2.74,Low
SMP-2026-0034,06-01-2026 12:00,LOC-103,15.2,6.86,27.38,8.71,437,PVC,Fiber,1.04,High
SMP-2026-0035,06-01-2026 16:00,LOC-107,20.1,6.73,40.88,8.55,268,PE,Film,1.44,Medium
SMP-2026-0036,06-01-2026 20:00,LOC-105,15.7,7.36,11.13,9.08,194,PVC,Microbead,2.6,Medium
SMP-2026-0037,07-01-2026 00:00,LOC-109,25.3,7.73,21.4,6.39,522,PE,Film,3.39,High
SMP-2026-0038,07-01-2026 04:00,LOC-107,14.2,7.63,20.55,9.98,369,PP,Fiber,1.62,High
SMP-2026-0039,07-01-2026 08:00,LOC-102,13.9,7.58,21.55,11.21,480,PS,Fiber,2.91,High
SMP-2026-0040,07-01-2026 12:00,LOC-104,13.3,7.42,28.2,10.14,613,PE,Microbead,3.41,High
SMP-2026-0041,07-01-2026 16:00,LOC-109,14.7,7.79,21.4,9.47,522,PVC,Fiber,3.06,High
SMP-2026-0042,07-01-2026 20:00,LOC-102,19.1,5.94,20.41,7.65,436,PP,Foam,0.83,High
SMP-2026-0043,08-01-2026 00:00,LOC-110,22.1,7.02,21.61,8.1,444,PE,Fragment,0.08,High
SMP-2026-0044,08-01-2026 04:00,LOC-109,21.3,7.35,26.79,7.52,280,PET,Microbead,1.75,Medium
SMP-2026-0045,08-01-2026 08:00,LOC-110,24.2,7.75,24.4,7.57,174,PS,Film,1.88,Medium
SMP-2026-0046,08-01-2026 12:00,LOC-105,25.7,8.14,38.51,6.84,620,PE,Foam,0.74,High
SMP-2026-0047,08-01-2026 16:00,LOC-102,24.3,6.96,2.7,6.48,41,PP,Microbead,1.03,Low
SMP-2026-0048,08-01-2026 20:00,LOC-104,8.4,8.13,37.58,10.78,928,PET,Fiber,2.69,Critical
SMP-2026-0049,09-01-2026 00:00,LOC-107,22.7,7.17,38.05,7.33,434,PA,Fiber,1.67,High
SMP-2026-0050,09-01-2026 04:00,LOC-108,12.2,7.34,13.18,10.03,310,PP,Fiber,1.14,Medium
SMP-2026-0051,09-01-2026 08:00,LOC-103,10.7,7.69,21.1,10.81,288,PP,Fiber,2.2,Medium
SMP-2026-0052,09-01-2026 12:00,LOC-101,20.8,7.3,20.01,8.28,253,PET,Film,2.3,Medium
SMP-2026-0053,09-01-2026 16:00,LOC-104,14.4,7.96,10.22,8.85,262,PP,Foam,2.7,Medium
SMP-2026-0054,09-01-2026 20:00,LOC-102,9.1,7.2,18.16,11.4,240,PET,Fragment,0.59,Medium
SMP-2026-0055,10-01-2026 00:00,LOC-108,10.8,7.21,2.48,11.14,57,PE,Film,2.61,Low
SMP-2026-0056,10-01-2026 04:00,LOC-104,8,7.93,12.86,12,116,PET,Film,2.12,Medium
