Sample_ID,Timestamp,Location_ID,City,State,Actual_Microplastic_Count,Predicted_Microplastic_Count,Prediction_Error,Absolute_Error,Predicted_Risk_Level
SMP-2026-0001,2026-01-01 00:00:00,LOC-107,Miami,Fl,552,538.71,13.289999999999964,13.289999999999964,High
SMP-2026-0002,2026-01-01 04:00:00,LOC-104,New York,Ny,422,412.79,9.20999999999998,9.20999999999998,High
SMP-2026-0003,2026-01-01 08:00:00,LOC-108,Philadelphia,Pa,39,41.98,-2.979999999999997,2.979999999999997,Low
SMP-2026-0004,2026-01-01 12:00:00,LOC-105,Seattle,Wa,529,564.11,-35.110000000000014,35.110000000000014,High
SMP-2026-0005,2026-01-01 16:00:00,LOC-107,Miami,Fl,87,78.94333333333333,8.056666666666672,8.056666666666672,Low
SMP-2026-0006,2026-01-01 20:00:00,LOC-110,Annapolis,Md,1055,901.1266666666667,153.87333333333333,153.87333333333333,Critical
SMP-2026-0007,2026-01-02 00:00:00,LOC-103,San Francisco,Ca,64,57.60333333333333,6.396666666666668,6.396666666666668,Low
SMP-2026-0008,2026-01-02 04:00:00,LOC-107,Miami,Fl,533,514.1233333333333,18.876666666666665,18.876666666666665,High
SMP-2026-0009,2026-01-02 08:00:00,LOC-108,Philadelphia,Pa,72,70.33666666666667,1.663333333333327,1.663333333333327,Low
SMP-2026-0010,2026-01-02 12:00:00,LOC-105,Seattle,Wa,497,531.24,-34.24000000000001,34.24000000000001,High
SMP-2026-0011,2026-01-02 16:00:00,LOC-104,New York,Ny,176,424.79,-248.79000000000002,248.79000000000002,High
SMP-2026-0012,2026-01-02 20:00:00,LOC-108,Philadelphia,Pa,67,91.76333333333334,-24.763333333333335,24.763333333333335,Low
SMP-2026-0013,2026-01-03 00:00:00,LOC-108,Philadelphia,Pa,310,280.8233333333333,29.176666666666677,29.176666666666677,Medium
SMP-2026-0014,2026-01-03 04:00:00,LOC-103,San Francisco,Ca,101,121.03666666666666,-20.03666666666666,20.03666666666666,Medium
SMP-2026-0015,2026-01-03 08:00:00,LOC-106,New Orleans,La,101,122.65333333333334,-21.653333333333336,21.653333333333336,Medium
SMP-2026-0016,2026-01-03 12:00:00,LOC-105,Seattle,Wa,1087,865.5533333333333,221.44666666666672,221.44666666666672,Critical
SMP-2026-0017,2026-01-03 16:00:00,LOC-102,Chicago,Il,200,254.32,-54.31999999999999,54.31999999999999,Medium
SMP-2026-0018,2026-01-03 20:00:00,LOC-108,Philadelphia,Pa,303,400.42,-97.42000000000002,97.42000000000002,High
SMP-2026-0019,2026-01-04 00:00:00,LOC-106,New Orleans,La,223,319.8,-96.80000000000001,96.80000000000001,Medium
SMP-2026-0020,2026-01-04 04:00:00,LOC-102,Chicago,Il,536,504.13,31.870000000000005,31.870000000000005,High
SMP-2026-0021,2026-01-04 08:00:00,LOC-105,Seattle,Wa,131,125.56,5.439999999999998,5.439999999999998,Medium
SMP-2026-0022,2026-01-04 12:00:00,LOC-101,New York,Ny,153,161.77666666666667,-8.77666666666667,8.77666666666667,Medium
